second,sent_at,latency_ms,status,status_code
54,1780839498.676,2130.50,ok,200
55,1780839500.824,378.49,ok,200
55,1780839500.950,848.90,ok,200
55,1780839501.075,1029.32,ok,200
55,1780839501.199,1395.65,ok,200
55,1780839501.325,1777.55,ok,200
55,1780839501.450,2254.15,ok,200
55,1780839501.575,2434.99,ok,200
55,1780839501.699,2821.35,ok,200
56,1780839504.537,359.48,ok,200
56,1780839504.662,745.11,ok,200
56,1780839504.788,1013.70,ok,200
56,1780839504.913,1390.36,ok,200
56,1780839505.038,1858.72,ok,200
56,1780839505.163,2238.92,ok,200
56,1780839505.288,-1.00,error,502
56,1780839505.413,-1.00,error,502
57,1780839507.421,-1.00,error,502
57,1780839507.547,385.67,ok,200
57,1780839507.672,-1.00,error,502
57,1780839507.797,-1.00,error,502
57,1780839507.922,-1.00,error,502
57,1780839508.047,296.01,ok,200
57,1780839508.172,368.47,ok,200
57,1780839508.297,547.49,ok,200
58,1780839508.859,289.48,ok,200
58,1780839509.027,512.94,ok,200
58,1780839509.193,456.89,ok,200
58,1780839509.360,584.61,ok,200
58,1780839509.527,828.95,ok,200
58,1780839509.694,1054.76,ok,200
59,1780839510.766,390.26,ok,200
59,1780839510.967,685.17,ok,200
59,1780839511.166,887.58,ok,200
59,1780839511.367,1185.22,ok,200
59,1780839511.567,1393.09,ok,200
60,1780839512.981,365.06,ok,200
60,1780839513.094,564.24,ok,200
60,1780839513.205,940.03,ok,200
60,1780839513.315,1342.83,ok,200
60,1780839513.427,1527.00,ok,200
60,1780839513.538,1911.80,ok,200
60,1780839513.649,2201.97,ok,200
60,1780839513.760,2488.38,ok,200
60,1780839513.871,2880.73,ok,200
61,1780839516.774,277.75,ok,200
61,1780839516.941,602.05,ok,200
61,1780839517.108,652.42,ok,200
61,1780839517.275,886.26,ok,200
61,1780839517.442,1311.91,ok,200
61,1780839517.608,1651.80,ok,200
62,1780839519.279,375.37,ok,200
62,1780839519.423,518.95,ok,200
62,1780839519.565,783.76,ok,200
62,1780839519.708,1041.29,ok,200
62,1780839519.851,1200.48,ok,200
62,1780839519.994,1556.70,ok,200
62,1780839520.137,1718.54,ok,200
63,1780839521.875,372.10,ok,200
63,1780839522.042,704.33,ok,200
63,1780839522.208,949.07,ok,200
63,1780839522.376,1374.62,ok,200
63,1780839522.542,1601.52,ok,200
63,1780839522.708,1838.15,ok,200
64,1780839524.563,184.86,ok,200
64,1780839524.707,353.76,ok,200
64,1780839524.850,698.04,ok,200
64,1780839524.992,851.00,ok,200
64,1780839525.135,1033.65,ok,200
64,1780839525.278,1371.75,ok,200
64,1780839525.421,1735.26,ok,200
65,1780839527.182,359.26,ok,200
65,1780839527.326,426.04,ok,200
65,1780839527.469,582.46,ok,200
65,1780839527.612,938.00,ok,200
65,1780839527.754,1205.78,ok,200
65,1780839527.897,1649.30,ok,200
65,1780839528.040,1913.95,ok,200
66,1780839529.976,378.56,ok,200
66,1780839530.144,603.00,ok,200
66,1780839530.310,842.52,ok,200
66,1780839530.477,1184.05,ok,200
66,1780839530.643,1500.17,ok,200
66,1780839530.811,1744.47,ok,200
67,1780839532.575,273.59,ok,200
67,1780839532.701,651.96,ok,200
67,1780839532.827,1026.11,ok,200
67,1780839532.950,1302.34,ok,200
67,1780839533.076,1669.19,ok,200
67,1780839533.201,1847.68,ok,200
67,1780839533.326,2231.59,ok,200
67,1780839533.451,2500.52,ok,200
68,1780839535.967,284.21,ok,200
68,1780839536.094,660.87,ok,200
68,1780839536.219,1033.44,ok,200
68,1780839536.344,1412.35,ok,200
68,1780839536.469,1580.52,ok,200
68,1780839536.594,1964.19,ok,200
68,1780839536.719,2428.36,ok,200
68,1780839536.844,2810.05,ok,200
69,1780839539.674,265.57,ok,200
69,1780839539.801,558.49,ok,200
69,1780839539.926,922.03,ok,200
69,1780839540.050,1211.57,ok,200
69,1780839540.176,1669.17,ok,200
69,1780839540.301,1953.59,ok,200
69,1780839540.425,2416.98,ok,200
69,1780839540.551,2700.09,ok,200
70,1780839543.272,374.29,ok,200
70,1780839543.473,574.33,ok,200
70,1780839543.673,882.54,ok,200
70,1780839543.873,973.92,ok,200
70,1780839544.073,1169.69,ok,200
71,1780839545.266,287.59,ok,200
71,1780839545.392,578.67,ok,200
71,1780839545.516,1031.57,ok,200
71,1780839545.642,1410.28,ok,200
71,1780839545.767,1779.37,ok,200
71,1780839545.891,2054.34,ok,200
71,1780839546.017,2434.81,ok,200
71,1780839546.142,2819.06,ok,200
72,1780839548.979,470.49,ok,200
72,1780839549.105,839.17,ok,200
72,1780839549.230,1022.56,ok,200
72,1780839549.355,1393.24,ok,200
72,1780839549.480,1468.24,ok,200
72,1780839549.605,1854.25,ok,200
72,1780839549.730,2123.96,ok,200
72,1780839549.855,2403.52,ok,200
73,1780839552.280,329.39,ok,200
73,1780839552.424,577.95,ok,200
73,1780839552.567,636.04,ok,200
73,1780839552.709,704.52,ok,200
73,1780839552.852,951.20,ok,200
73,1780839552.996,1111.46,ok,200
73,1780839553.138,1269.21,ok,200
74,1780839554.423,187.07,ok,200
74,1780839554.591,417.31,ok,200
74,1780839554.758,657.04,ok,200
74,1780839554.925,986.31,ok,200
74,1780839555.091,1219.36,ok,200
74,1780839555.258,1554.71,ok,200
75,1780839556.836,281.60,ok,200
75,1780839557.037,568.02,ok,200
75,1780839557.237,666.34,ok,200
75,1780839557.437,671.74,ok,200
75,1780839557.636,874.68,ok,200
76,1780839558.530,374.52,ok,200
76,1780839558.657,555.49,ok,200
76,1780839558.782,939.38,ok,200
76,1780839558.906,1304.02,ok,200
76,1780839559.032,1672.82,ok,200
76,1780839559.157,1849.94,ok,200
76,1780839559.282,2138.31,ok,200
76,1780839559.407,2505.34,ok,200
77,1780839561.931,386.41,ok,200
77,1780839562.098,813.07,ok,200
77,1780839562.265,1057.91,ok,200
77,1780839562.432,1478.80,ok,200
77,1780839562.599,1622.56,ok,200
77,1780839562.765,2040.83,ok,200
78,1780839564.827,191.96,ok,200
78,1780839565.078,528.27,ok,200
78,1780839565.328,489.78,ok,200
78,1780839565.578,635.35,ok,200
79,1780839566.232,285.63,ok,200
79,1780839566.433,585.92,ok,200
79,1780839566.633,1008.15,ok,200
79,1780839566.833,1176.26,ok,200
79,1780839567.033,1492.07,ok,200
80,1780839568.550,440.44,ok,200
80,1780839568.693,511.04,ok,200
80,1780839568.837,877.14,ok,200
80,1780839568.979,1128.88,ok,200
80,1780839569.122,1388.89,ok,200
80,1780839569.265,1544.54,ok,200
80,1780839569.408,1696.76,ok,200
81,1780839571.121,330.28,ok,200
81,1780839571.289,220.88,ok,200
81,1780839571.455,298.66,ok,200
81,1780839571.622,283.93,ok,200
81,1780839571.789,343.36,ok,200
81,1780839571.956,153.98,ok,200
82,1780839572.143,267.75,ok,200
82,1780839572.311,156.03,ok,200
82,1780839572.478,326.09,ok,200
82,1780839572.644,210.73,ok,200
82,1780839572.811,293.33,ok,200
82,1780839572.977,190.53,ok,200
83,1780839573.185,222.22,ok,200
83,1780839573.329,209.21,ok,200
83,1780839573.472,235.23,ok,200
83,1780839573.614,122.77,ok,200
83,1780839573.757,250.92,ok,200
83,1780839573.900,252.06,ok,200
83,1780839574.043,162.92,ok,200
84,1780839574.219,215.19,ok,200
84,1780839574.387,304.98,ok,200
84,1780839574.553,203.62,ok,200
84,1780839574.719,283.72,ok,200
84,1780839574.886,169.32,ok,200
84,1780839575.052,153.91,ok,200
85,1780839575.222,217.76,ok,200
85,1780839575.366,135.13,ok,200
85,1780839575.508,231.48,ok,200
85,1780839575.652,163.11,ok,200
85,1780839575.795,243.30,ok,200
85,1780839575.938,174.54,ok,200
85,1780839576.081,255.63,ok,200
86,1780839576.358,152.98,ok,200
86,1780839576.559,292.52,ok,200
86,1780839576.759,239.09,ok,200
86,1780839576.959,199.29,ok,200
86,1780839577.158,159.70,ok,200
87,1780839577.359,200.98,ok,200
87,1780839577.527,181.30,ok,200
87,1780839577.693,169.03,ok,200
87,1780839577.860,157.34,ok,200
87,1780839578.027,209.25,ok,200
87,1780839578.193,223.35,ok,200
88,1780839578.440,216.15,ok,200
88,1780839578.607,193.22,ok,200
88,1780839578.774,194.29,ok,200
88,1780839578.941,173.02,ok,200
88,1780839579.107,150.56,ok,200
88,1780839579.274,323.48,ok,200
89,1780839579.620,232.71,ok,200
89,1780839579.788,322.19,ok,200
89,1780839579.955,207.44,ok,200
89,1780839580.120,300.24,ok,200
89,1780839580.288,174.35,ok,200
89,1780839580.454,258.28,ok,200
90,1780839580.727,207.30,ok,200
