second,scheduled_qps,sent,ok,dropped,timeouts,avg_latency_ms,p50_latency_ms,p99_latency_ms,throughput_rps,replicas,cpu_cores
164,8,8,8,0,0,96.30,104.57,122.48,8,7.0,7.0000
165,7,7,7,0,0,101.59,112.40,122.23,7,7.0,7.0000
166,5,5,5,0,0,76.34,85.00,87.88,5,7.0,7.0000
167,6,6,6,0,0,108.14,117.16,124.39,6,7.0,7.0000
168,6,6,6,0,0,101.20,120.97,122.04,6,7.0,7.0000
169,6,6,6,0,0,100.42,111.86,129.42,6,7.0,7.0000
170,7,7,7,0,0,98.49,104.33,141.37,7,7.0,7.0000
171,7,7,7,0,0,94.24,105.93,130.28,7,7.0,7.0000
172,8,8,8,0,0,95.95,119.59,122.38,8,7.0,7.0000
173,6,6,6,0,0,99.08,110.76,127.60,6,7.0,7.0000
174,7,7,7,0,0,90.88,97.84,131.91,7,7.0,7.0000
175,5,5,5,0,0,106.32,74.15,170.31,5,7.0,7.0000
176,7,7,7,0,0,102.33,111.40,150.34,7,7.0,7.0000
177,6,6,6,0,0,95.42,109.70,125.15,6,7.0,7.0000
178,9,9,9,0,0,110.52,115.71,158.90,9,7.0,7.0000
179,6,6,6,0,0,99.33,104.20,124.43,6,7.0,7.0000
180,6,6,6,0,0,94.79,109.20,120.83,6,7.0,7.0000
181,7,7,7,0,0,97.55,108.01,126.90,7,7.0,7.0000
182,9,9,9,0,0,91.79,109.00,129.05,9,7.0,7.0000
183,5,5,5,0,0,99.53,93.31,149.44,5,7.0,7.0000
184,10,10,10,0,0,91.07,97.56,102.75,10,7.0,7.0000
185,6,6,6,0,0,90.62,116.83,118.46,6,7.0,7.0000
186,6,6,6,0,0,114.24,116.50,129.27,6,7.0,7.0000
187,8,8,8,0,0,88.19,94.12,130.71,8,7.0,7.0000
188,5,5,5,0,0,84.96,76.89,129.84,5,7.0,7.0000
189,5,5,5,0,0,83.63,76.64,123.41,5,7.0,7.0000
190,8,8,8,0,0,91.38,98.95,129.70,8,7.0,7.0000
191,8,8,8,0,0,115.06,121.48,169.92,8,7.0,7.0000
192,7,7,7,0,0,128.90,116.07,273.85,7,7.0,7.0000
193,6,6,6,0,0,121.39,131.06,147.17,6,7.0,7.0000
194,6,6,6,0,0,120.28,104.32,159.27,6,7.0,7.0000
195,9,9,9,0,0,97.15,92.47,130.73,9,7.0,7.0000
196,8,8,8,0,0,149.48,148.84,226.38,8,7.0,7.0000
197,8,8,8,0,0,93.93,97.07,120.10,8,7.0,7.0000
198,9,9,9,0,0,100.11,108.65,124.48,9,7.0,7.0000
199,7,7,7,0,0,95.47,97.39,118.93,7,7.0,7.0000
200,10,10,10,0,0,97.90,95.54,161.61,10,7.0,7.0000
201,8,8,8,0,0,87.73,96.76,123.94,8,7.0,7.0000
202,6,6,6,0,0,109.95,120.49,141.99,6,7.0,7.0000
203,8,8,8,0,0,96.58,117.54,118.40,8,7.0,7.0000
204,8,8,8,0,0,102.55,110.67,125.15,8,7.0,7.0000
205,6,6,6,0,0,104.48,111.24,124.82,6,7.0,7.0000
206,6,6,6,0,0,103.68,109.78,132.06,6,6.0,6.0000
207,7,7,7,0,0,111.22,119.51,123.56,7,6.0,6.0000
208,5,5,5,0,0,92.21,71.21,136.01,5,6.0,6.0000
209,7,7,7,0,0,117.72,116.03,159.72,7,6.0,6.0000
210,10,10,10,0,0,112.96,112.38,136.60,10,6.0,6.0000
211,9,9,9,0,0,110.18,115.43,165.10,9,6.0,6.0000
212,6,6,6,0,0,107.10,115.21,127.14,6,6.0,6.0000
213,8,8,8,0,0,82.79,86.79,109.70,8,6.0,6.0000
214,8,8,8,0,0,109.79,109.42,129.93,8,6.0,6.0000
215,5,5,5,0,0,79.23,84.51,89.24,5,6.0,6.0000
216,8,8,8,0,0,99.51,107.67,124.68,8,6.0,6.0000
217,9,9,9,0,0,99.35,109.44,119.48,9,6.0,6.0000
218,8,8,8,0,0,106.89,114.97,125.24,8,6.0,6.0000
219,8,8,8,0,0,121.05,116.85,216.04,8,6.0,6.0000
220,7,7,7,0,0,95.89,95.51,121.36,7,6.0,6.0000
221,8,8,8,0,0,101.49,101.28,149.86,8,6.0,6.0000
222,9,9,9,0,0,111.62,112.98,167.15,9,6.0,6.0000
223,6,6,6,0,0,108.58,109.34,172.71,6,6.0,6.0000
224,8,8,8,0,0,104.65,116.82,121.07,8,6.0,6.0000
225,7,7,7,0,0,101.28,109.93,123.88,7,6.0,6.0000
226,7,7,7,0,0,100.92,112.79,129.44,7,6.0,6.0000
227,7,7,7,0,0,108.59,111.99,125.06,7,6.0,6.0000
228,8,8,8,0,0,96.35,96.42,124.14,8,6.0,6.0000
229,7,7,7,0,0,94.98,94.58,125.16,7,6.0,6.0000
230,9,9,9,0,0,111.79,120.18,156.42,9,6.0,6.0000
231,10,10,10,0,0,115.48,112.92,134.32,10,6.0,6.0000
232,6,6,6,0,0,101.88,107.70,123.06,6,6.0,6.0000
233,7,7,7,0,0,121.00,119.51,163.89,7,6.0,6.0000
234,8,8,8,0,0,100.53,103.70,123.68,8,6.0,6.0000
235,7,7,7,0,0,105.36,104.61,128.09,7,6.0,6.0000
236,7,7,7,0,0,99.57,107.04,118.30,7,6.0,6.0000
237,8,8,8,0,0,91.89,104.51,125.08,8,6.0,6.0000
238,7,7,7,0,0,100.01,109.64,124.17,7,6.0,6.0000
239,7,7,7,0,0,103.27,107.68,124.49,7,6.0,6.0000
240,7,7,7,0,0,98.00,96.32,121.35,7,6.0,6.0000
241,7,7,7,0,0,105.88,104.98,155.45,7,6.0,6.0000
242,6,6,6,0,0,104.63,112.32,129.33,6,6.0,6.0000
243,7,7,7,0,0,107.67,121.44,128.22,7,6.0,6.0000
244,7,7,7,0,0,97.97,88.50,126.55,7,6.0,6.0000
245,7,7,7,0,0,106.88,106.64,127.41,7,6.0,6.0000
246,6,6,6,0,0,102.50,111.85,128.44,6,6.0,6.0000
247,9,9,9,0,0,94.71,103.08,121.98,9,6.0,6.0000
248,7,7,7,0,0,109.10,119.28,146.48,7,6.0,6.0000
249,6,6,6,0,0,94.81,95.27,113.91,6,6.0,6.0000
250,6,6,6,0,0,94.43,95.89,134.43,6,6.0,6.0000
251,7,7,7,0,0,110.35,116.75,138.59,7,6.0,6.0000
252,6,6,6,0,0,117.26,127.65,173.80,6,6.0,6.0000
253,8,8,8,0,0,100.51,115.28,121.05,8,6.0,6.0000
254,20,20,20,0,0,211.82,109.76,509.45,20,6.0,6.0000
255,17,17,17,0,0,154.69,114.57,356.98,17,6.0,6.0000
256,20,20,20,0,0,178.84,114.90,391.00,20,6.0,6.0000
257,28,28,28,0,0,241.71,157.34,617.04,28,6.0,6.0000
258,28,28,28,0,0,288.94,222.25,692.89,28,6.0,6.0000
259,30,30,30,0,0,250.81,188.69,626.15,30,6.0,6.0000
260,32,32,32,0,0,306.66,271.80,735.70,32,6.0,6.0000
261,31,31,31,0,0,284.91,226.92,677.45,31,6.0,6.0000
262,30,30,30,0,0,202.40,121.33,850.57,30,6.0,6.0000
263,36,36,36,0,0,247.95,191.76,591.97,36,6.0,6.0000
264,30,30,30,0,0,193.28,111.37,515.94,30,6.0,6.0000
265,32,32,32,0,0,200.28,125.34,546.32,32,6.0,6.0000
266,35,35,35,0,0,204.30,137.52,526.42,35,6.0,6.0000
267,31,31,31,0,0,187.43,112.44,486.00,31,6.0,6.0000
268,36,36,36,0,0,218.42,156.71,570.94,36,7.0,7.0000
269,31,31,31,0,0,205.14,153.09,481.65,31,7.0,7.0000
270,35,35,35,0,0,238.93,166.68,573.94,35,7.0,7.0000
271,35,35,35,0,0,214.56,145.95,881.54,35,7.0,7.0000
272,37,37,37,0,0,216.36,138.05,539.41,37,7.0,7.0000
273,38,38,38,0,0,212.44,161.07,502.59,38,7.0,7.0000
274,36,36,36,0,0,220.70,164.64,541.06,36,7.0,7.0000
275,32,32,32,0,0,192.29,117.04,480.38,32,8.0,8.0000
276,32,32,32,0,0,204.08,123.57,726.23,32,8.0,8.0000
277,36,36,36,0,0,223.61,174.01,568.03,36,8.0,8.0000
278,38,38,38,0,0,223.12,183.72,537.06,38,8.0,8.0000
279,36,36,36,0,0,221.11,194.10,508.31,36,8.0,8.0000
280,35,35,35,0,0,197.03,121.31,553.35,35,8.0,8.0000
281,44,44,44,0,0,272.30,257.45,678.95,44,8.0,8.0000
282,36,36,36,0,0,193.64,136.01,484.67,36,8.0,8.0000
283,37,37,37,0,0,235.46,184.93,535.60,37,8.0,8.0000
284,36,36,36,0,0,224.82,193.05,518.35,36,8.0,8.0000
285,37,37,37,0,0,231.53,168.27,547.76,37,8.0,8.0000
286,35,35,35,0,0,214.39,136.13,506.79,35,8.0,8.0000
287,37,37,37,0,0,214.10,137.90,523.02,37,8.0,8.0000
288,35,35,35,0,0,201.79,138.94,477.65,35,8.0,8.0000
289,38,38,38,0,0,240.07,195.05,546.72,38,8.0,8.0000
290,32,32,32,0,0,192.80,119.12,470.45,32,8.0,8.0000
291,36,36,36,0,0,208.58,157.15,506.46,36,8.0,8.0000
292,35,35,35,0,0,209.11,159.16,494.93,35,8.0,8.0000
293,33,33,33,0,0,185.61,127.59,502.53,33,8.0,8.0000
294,41,41,41,0,0,270.44,223.40,654.28,41,8.0,8.0000
295,34,34,34,0,0,186.59,121.26,479.11,34,8.0,8.0000
296,32,32,32,0,0,205.33,137.18,473.03,32,8.0,8.0000
297,36,36,36,0,0,208.75,148.60,487.26,36,8.0,8.0000
298,38,38,38,0,0,230.13,173.28,540.54,38,8.0,8.0000
299,41,41,41,0,0,255.53,212.59,627.28,41,8.0,8.0000
300,37,37,37,0,0,201.41,150.53,761.73,37,8.0,8.0000
301,42,42,42,0,0,264.32,240.36,571.58,42,8.0,8.0000
302,37,37,37,0,0,213.74,158.41,514.56,37,8.0,8.0000
303,38,38,38,0,0,219.69,191.62,504.77,38,8.0,8.0000
304,44,44,44,0,0,332.52,312.57,769.42,44,8.0,8.0000
305,36,36,36,0,0,222.95,137.89,569.88,36,8.0,8.0000
306,35,35,35,0,0,202.26,135.88,765.10,35,8.0,8.0000
307,36,36,36,0,0,208.44,147.66,730.57,36,8.0,8.0000
308,36,36,36,0,0,222.57,162.64,520.60,36,8.0,8.0000
309,35,35,35,0,0,208.74,140.56,485.51,35,8.0,8.0000
310,39,39,39,0,0,239.72,196.74,541.24,39,8.0,8.0000
311,37,37,37,0,0,222.01,167.94,543.05,37,8.0,8.0000
312,37,37,37,0,0,241.25,187.23,544.35,37,8.0,8.0000
313,37,37,37,0,0,219.38,173.99,511.01,37,8.0,8.0000
314,33,33,33,0,0,186.07,147.67,490.02,33,8.0,8.0000
315,40,40,40,0,0,240.94,204.80,608.70,40,8.0,8.0000
316,42,42,42,0,0,270.84,248.00,634.70,42,8.0,8.0000
317,38,38,38,0,0,225.97,179.74,486.58,38,8.0,8.0000
318,36,36,36,0,0,224.59,170.81,514.83,36,8.0,8.0000
319,33,33,33,0,0,184.30,119.23,457.04,33,8.0,8.0000
320,41,41,41,0,0,243.77,213.82,555.36,41,8.0,8.0000
321,43,43,43,0,0,295.83,284.29,653.11,43,8.0,8.0000
322,37,37,37,0,0,232.43,168.48,548.29,37,8.0,8.0000
323,33,33,33,0,0,197.37,115.70,515.79,33,8.0,8.0000
324,41,41,41,0,0,250.07,224.05,619.42,41,8.0,8.0000
325,42,42,42,0,0,272.70,237.13,651.73,42,8.0,8.0000
326,35,35,35,0,0,187.90,135.16,445.37,35,8.0,8.0000
327,37,37,37,0,0,226.37,175.20,513.37,37,8.0,8.0000
328,36,36,36,0,0,211.60,176.69,485.05,36,8.0,8.0000
329,35,35,35,0,0,215.50,150.25,505.42,35,8.0,8.0000
330,35,35,35,0,0,200.77,135.89,508.74,35,8.0,8.0000
331,35,35,35,0,0,193.12,139.80,459.37,35,8.0,8.0000
332,32,32,32,0,0,195.89,150.67,454.51,32,8.0,8.0000
333,38,38,38,0,0,236.41,191.72,542.30,38,8.0,8.0000
334,38,38,38,0,0,229.05,192.02,509.86,38,8.0,8.0000
335,41,41,41,0,0,278.76,229.72,670.07,41,8.0,8.0000
336,35,35,35,0,0,203.36,147.95,509.18,35,8.0,8.0000
337,35,35,35,0,0,213.90,132.60,574.62,35,8.0,8.0000
338,38,38,38,0,0,237.51,187.91,547.84,38,8.0,8.0000
339,38,38,38,0,0,214.01,165.05,506.79,38,8.0,8.0000
340,40,40,40,0,0,242.86,202.76,505.06,40,8.0,8.0000
341,38,38,38,0,0,236.94,187.26,521.81,38,8.0,8.0000
342,43,43,43,0,0,303.01,288.47,664.76,43,8.0,8.0000
343,40,40,40,0,0,258.00,216.66,579.50,40,8.0,8.0000
344,36,36,36,0,0,219.07,151.68,635.24,36,8.0,8.0000
345,41,41,41,0,0,246.39,207.07,632.07,41,8.0,8.0000
346,39,39,39,0,0,244.15,203.06,635.90,39,8.0,8.0000
347,33,33,33,0,0,188.60,117.44,475.61,33,8.0,8.0000
348,37,37,37,0,0,224.64,149.06,547.72,37,8.0,8.0000
349,35,35,35,0,0,204.08,146.82,486.38,35,8.0,8.0000
