second,scheduled_qps,sent,ok,dropped,timeouts,avg_latency_ms,p50_latency_ms,p99_latency_ms,throughput_rps,replicas,cpu_cores
532,7,7,7,0,0,1712.30,1777.18,2825.57,7,1.0,1.0000
533,6,6,6,0,0,1152.05,1302.97,2071.56,6,1.0,1.0000
534,6,6,6,0,0,1397.91,1568.02,2318.35,6,1.0,1.0000
535,9,9,9,0,0,2129.69,2131.94,3688.25,9,1.0,1.0000
536,8,8,8,0,0,1808.00,1970.41,3327.05,8,1.0,1.0000
537,8,8,8,0,0,2001.49,2144.09,3493.88,8,1.0,1.0000
538,6,6,6,0,0,1137.15,1257.48,2026.74,6,1.0,1.0000
539,7,7,7,0,0,1395.79,1352.52,2514.95,7,1.0,1.0000
540,10,10,10,0,0,2113.81,2304.80,3807.22,10,1.0,1.0000
541,8,8,8,0,0,1804.02,1978.68,3276.91,8,1.0,1.0000
542,10,10,10,0,0,2330.32,2498.81,4304.54,10,1.0,1.0000
543,7,7,7,0,0,1498.23,1511.73,2826.30,7,1.0,1.0000
544,7,7,7,0,0,1407.84,1317.60,2604.93,7,1.0,1.0000
545,7,7,7,0,0,1658.83,1733.42,2794.41,7,1.0,1.0000
546,9,9,9,0,0,1833.84,1866.55,3430.31,9,1.0,1.0000
547,7,7,7,0,0,1727.95,1818.94,2911.97,7,1.0,1.0000
548,8,8,8,0,0,1639.03,1674.56,3075.32,8,1.0,1.0000
549,6,6,6,0,0,1329.55,1609.72,2086.69,6,1.0,1.0000
550,5,5,5,0,0,1132.64,1170.55,1663.55,5,1.0,1.0000
551,7,7,7,0,0,1357.97,1360.91,2133.21,7,1.0,1.0000
552,7,7,7,0,0,1375.47,1344.85,2319.02,7,1.0,1.0000
553,8,8,8,0,0,1962.89,2272.04,3207.84,8,1.0,1.0000
554,7,7,7,0,0,1549.41,1547.77,2615.06,7,1.0,1.0000
555,7,7,7,0,0,1608.37,1541.77,2809.10,7,1.0,1.0000
556,8,8,8,0,0,2039.61,2286.74,3509.33,8,1.0,1.0000
